大項目,中項目,詳細タスク,手順内容,成果物 / 決めること,アプリ開発に必要な情報,進め方,備考
0.前提整理,プロジェクト定義,目的の確認 Why,旅録が何を最優先で達成する事業かを1つに絞って確認する,目的定義文,KPI設計と機能優先順位の土台,目的候補整理→主目的決定→一文化,ギフト獲得と地域送客のどちらを主に置くかを先に決める
0.前提整理,プロジェクト定義,成功条件の確認,成功を判断する数字を3〜5個に絞る,KPI一覧,計測要件と管理画面要件,指標候補整理→優先度付け→目標値仮置き→計測方法整理,MVPでは測れないKPIは後段に回す
0.前提整理,プロジェクト定義,サービス定義 What,旅録が何のサービスかを一文で定義する,サービス定義文,画面全体の設計思想,価値整理→体験整理→一文化,旅ギフトサービスなのか旅ログサービスなのかを混ぜない
0.前提整理,対象整理,主要顧客の確定 Who,送り主と旅行者のどちらを入口顧客にするか確定する,主要顧客定義,ユーザー体験設計と導線設計,顧客候補整理→ペルソナ整理→主要顧客決定,現状は送り主を起点に置くのが自然
0.前提整理,対象整理,ステークホルダー整理,送り主 旅行者 自治体 事業者 運営者の役割を整理する,関係者一覧と権限区分,権限制御と管理画面区分,関係者洗い出し→役割整理→関係図作成→権限整理,同じ人が送り主にも旅行者にもなりうる
1.市場理解,顧客理解,送り主ニーズ整理,送り主の利用シーン 課題 動機を整理する,送り主ペルソナ,ギフト購入画面とメッセージ機能,利用シーン整理→課題整理→ペルソナ化,誕生日 結婚祝い 退職祝い 親への感謝を優先
1.市場理解,顧客理解,旅行者ニーズ整理,旅行者の旅前 旅中 旅後の課題と期待を整理する,旅行者ペルソナ,旅ログ 記録 共有 回遊導線,行動整理→課題整理→理想体験整理→ペルソナ化,旅行者を主役に置いて体験価値を設計する
1.市場理解,顧客理解,自治体ニーズ整理,自治体や観光協会が求める成果を整理する,自治体課題一覧,レポート ダッシュボード データ出力,課題整理→期待効果整理→導入メリット整理,観光回遊 地域消費 データ取得を中心に整理
1.市場理解,顧客理解,地域事業者ニーズ整理,事業者の集客 売上 情報発信課題を整理する,事業者課題一覧,加盟店管理 体験登録 利用集計,課題整理→メリット整理→参加条件整理,事業者の運用負荷が高いと参加が進まない
1.市場理解,競合理解,競合カテゴリ整理,体験ギフト 旅行予約 旅ログ SNSの4カテゴリで競合を整理する,競合マップ,差別化すべき機能一覧,カテゴリ洗い出し→マップ化→自社位置確認,カテゴリを混ぜて比較しない
1.市場理解,競合理解,競合比較,主要競合の強み 弱み 機能を比較する,競合比較表,最低限必要機能と差別化機能,競合選定→機能比較→差別化抽出,旅ログ×ギフト×地域接点が核
2.事業設計,マネタイズ,収益ポイント整理,ギフト購入 ふるさと納税 加盟店手数料 自治体連携 ECを整理する,収益モデル一覧,決済機能と課金管理,収益源整理→優先収益モデル決定→仮試算,MVPでは最初の収益源を1〜2個に絞る
2.事業設計,マネタイズ,価格帯仮説,ギフト価格帯と利用単価の仮説を作る,価格仮説,金額表示 残高設計 追加課金,価格候補整理→市場確認→仮設定→試算,送り主が買いやすい価格帯を基準にする
2.事業設計,マネタイズ,支払者整理,誰が何に対して支払うかを整理する,課金マップ,決済フロー 支払いタイミング,支払主体整理→タイミング整理→課金導線整理,送り主 旅行者 事業者 自治体で分けて考える
2.事業設計,導入戦略,売り先候補整理,最初に営業すべき導入先を整理する,営業先一覧,導入先別設定と管理機能,候補洗い出し→優先順位整理→リスト化,自治体だけでなくDMOや宿も候補に入れる
2.事業設計,導入戦略,パイロットモデル設定 How,実証する地域 規模 対象ユーザーを決める,パイロット計画,MVP機能範囲と地域限定設定,実証目的整理→対象設定→規模設定→計画化,最初は狭い地域と少ない体験数でよい
3.地域設計,自治体・地域連携,パイロット地域条件設定 Where,最初に選ぶ地域の条件を定義する,地域選定条件,地域登録機能と地域マスタ,条件整理→候補比較→決定,回遊しやすさ 協力先 体験の厚みを重視
3.地域設計,自治体・地域連携,候補地域分析,候補地域の観光資源と特徴を整理する,候補地域一覧,地域基本情報と観光資源DB,候補調査→特徴整理→比較,体験が点ではなく線でつながる地域を優先
3.地域設計,自治体・地域連携,掲載コンテンツ整理,宿泊 飲食 体験 交通拠点を整理する,観光資源一覧,スポットDBとカテゴリ設計,資源調査→カテゴリ整理→優先掲載選定,MVPではカテゴリを増やしすぎない
3.地域設計,自治体・地域連携,関係者整理,自治体 観光協会 事業者 宿 交通の連携先を整理する,連携先一覧,管理者権限と加盟店登録,関係者整理→役割整理→接触順整理,誰が承認者かを最初に押さえる
3.地域設計,自治体・地域連携,導入交渉準備,自治体に何をどう提案するか論点を整理する,提案論点,レポート機能と導入メリット整理,メリット整理→提案資料化→アプローチ設計,送客 データ 回遊 話題化の4軸でまとめる
4.体験設計,UX設計,ユーザータイプ整理,送り主 旅行者 管理者 事業者の利用目的を整理する,ユーザータイプ表,アカウント種別と権限制御,タイプ整理→利用目的整理→分類確定,同一人物の役割切替も考える
4.体験設計,UX設計,カスタマージャーニー作成,旅前 旅中 旅後の行動と接点を時系列で整理する,ジャーニーマップ,画面遷移と通知タイミング,時系列整理→接点整理→ジャーニー化,送り主と旅行者を分けて作る
4.体験設計,UX設計,感情設計,ワクワク 不安 感動 共有したい感情の流れを整理する,感情マップ,演出ポイントとUI優先度,感情整理→不安対策→演出整理,受け取り瞬間と旅後共有が山場
4.体験設計,UX設計,価値の核の定義,旅録の体験価値の核を短く定義する,体験価値定義,必須機能の優先順位,価値候補整理→核の言語化,旅のきっかけ 地域との出会い 記録に残る旅を軸にする
4.体験設計,体験フロー,旅の全体フロー設計,贈る→受け取る→計画する→旅する→記録する→共有する流れを整理する,全体フロー図,主要画面一覧,主要行動整理→体験フロー化,送り主フローと旅行者フローを接続する
4.体験設計,体験フロー,旅中行動分解,移動 到着 観光 食事 体験 宿泊 帰宅を分解する,行動一覧,イベント発火と通知導線,旅中行動分解→タイミング整理,旅先の体験導線設計に直結する
4.体験設計,体験フロー,回遊導線設計,地域内でどの順に回ると満足度が高いか仮設計する,回遊導線図,おすすめ表示 地図 ナビ要件,ルート整理→地図確認→順序設計,MVPでは1〜2本のモデル導線で十分
4.体験設計,体験フロー,ハイライト体験設定,旅の中で特別感が出る体験を定義する,ハイライト一覧,強調表示 特別演出,体験抽出→演出案整理,印象に残る体験は1旅1〜2個に絞る
5.ギフト設計,送り主体験,ギフト購入導線設計,送り主が選んで買って贈るまでの流れを整理する,購入フロー,購入画面 決済 送付設定,行動整理→導線設計→UX確認,途中離脱を減らす設計が重要
5.ギフト設計,送り主体験,ギフト表現設計,旅そのものではなく旅のきっかけを贈る表現を整理する,ギフト設計方針,カード表示 テーマ選択 残高表示,コンセプト整理→UIイメージ整理,旅を決めすぎない余白を残す
